,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Class
247,18770,31,551,3,1,1,1,3,1
248,42774,22,493,4,1,5,5,4,0
249,13776,27,925,2,2,2,5,5,1
250,103702,19,405,2,2,2,4,1,1
251,69826,26,1055,3,3,3,4,4,1
252,57906,72,305,4,3,3,3,4,1
253,31358,34,589,5,5,5,5,1,0
254,92805,45,1587,2,2,2,2,4,0
255,104375,51,3090,2,4,4,4,3,1
256,109896,26,804,2,2,2,3,4,1
257,102955,12,719,3,4,3,3,1,1
258,44736,72,67,2,5,3,5,2,1
259,28135,45,550,4,2,4,4,4,0
260,55871,22,2809,2,2,2,2,5,0
261,8818,53,552,4,4,4,1,4,1
262,86148,33,356,3,3,3,4,4,1
263,120162,46,119,4,0,4,1,5,1
264,117547,54,1545,2,2,2,2,5,0
265,112385,40,819,4,2,3,3,4,1
266,19908,37,1801,2,4,3,3,4,1
267,45098,35,1658,2,2,5,2,1,0
268,43810,26,114,4,0,5,3,4,0
269,22981,62,128,4,3,3,3,2,0
270,68134,58,813,1,1,1,1,5,0
271,23518,55,349,2,3,2,3,2,1
272,109188,60,1508,3,1,1,1,2,1
273,1150,15,89,3,5,3,4,5,1
274,44586,67,157,4,1,4,3,5,1
275,84299,43,2828,0,1,1,2,5,0
276,103793,30,3131,1,1,1,1,5,0
277,35032,42,718,5,1,4,1,3,0
278,103291,40,1959,3,3,3,3,4,0
279,93909,47,3496,2,2,2,2,2,0
280,127925,38,2300,4,2,2,2,4,1
281,128097,25,2845,3,0,3,5,3,1
282,26149,26,406,3,5,3,4,3,1
283,95886,66,580,2,4,2,3,4,1
284,125425,69,735,1,4,4,4,3,1
285,120078,22,1722,2,5,5,5,2,1
286,60625,8,1201,2,5,2,3,3,1
287,115031,37,372,5,5,5,4,4,0
288,37077,69,1072,1,5,1,5,4,1
289,69252,28,733,4,2,2,2,4,1
290,12194,51,1075,2,4,1,4,2,1
291,80188,46,2586,3,1,3,3,3,1
292,10430,39,140,4,4,4,3,4,0
293,21262,21,903,4,3,4,4,1,1
294,55236,46,2423,4,4,4,4,2,0
295,126917,36,3130,2,2,2,2,5,0
296,112190,60,2198,3,3,3,3,3,0
297,16342,23,602,2,5,5,5,2,1
298,2201,52,685,4,4,4,5,4,0
299,53687,36,1208,4,5,5,5,4,0
300,47168,41,2789,3,3,2,3,4,0
301,8782,45,3305,2,2,2,2,3,0
302,75468,67,2342,3,4,3,3,5,1
303,663,45,3712,4,4,4,4,3,0
304,74740,56,1431,3,5,3,3,4,1
305,117904,62,255,3,3,2,2,2,1
306,59599,30,3720,2,1,1,1,2,1
307,29479,48,1107,4,5,5,5,4,0
308,105096,32,2999,2,2,2,2,4,0
309,94421,30,2438,0,1,1,1,2,0
310,49058,40,156,1,1,1,5,4,1
311,47795,42,3665,5,5,5,5,5,0
312,125451,52,2917,5,5,5,5,5,0
313,96114,50,1235,5,5,5,5,3,0
314,23241,18,549,2,5,2,3,2,1
315,106258,30,1500,3,3,3,3,5,0
316,64874,26,190,3,2,3,3,1,1
317,100136,37,468,4,4,4,4,4,0
318,51774,64,261,1,4,0,3,1,1
319,124301,21,255,5,0,5,1,2,0
320,36127,52,1609,3,2,4,4,3,1
321,121855,52,413,5,5,5,5,5,0
322,52648,29,119,2,2,2,2,5,1
323,38803,13,387,2,1,2,3,1,1
324,39916,28,1087,1,1,3,1,5,0
325,95301,13,323,2,4,2,3,2,1
326,16505,16,282,2,5,2,3,5,1
327,63771,58,1721,3,3,3,3,3,0
328,51960,24,347,3,0,3,1,5,1
329,111305,25,3465,2,4,4,4,2,1
330,114340,34,948,2,4,2,2,4,1
331,17379,44,1707,5,5,5,5,5,0
332,65992,23,1372,3,5,3,1,1,1
333,104578,20,369,5,3,5,4,1,0
334,7443,8,552,4,3,4,1,3,1
335,67768,26,1188,1,5,5,5,1,1
336,89581,43,1005,4,4,4,4,5,1
337,47417,72,1870,2,1,1,1,3,1
338,30231,48,896,2,4,4,4,4,0
339,14343,27,429,4,5,4,3,3,1
340,79924,25,1796,4,2,2,2,4,1
341,105654,26,842,1,1,1,2,5,1
342,29495,16,1107,3,4,3,3,1,1
343,98183,36,327,2,2,2,3,5,1
344,87554,55,432,4,4,2,1,5,1
345,83683,23,577,0,0,1,1,5,0
346,74603,50,1877,2,4,4,4,5,1
347,83191,45,1123,5,5,5,5,2,0
348,110103,57,1749,1,1,1,1,4,0
349,57026,50,2454,3,3,3,3,5,0
350,91205,42,270,1,2,1,4,3,1
351,55470,34,1825,2,2,2,2,3,0
352,53922,17,191,1,1,1,4,4,1
353,129138,45,679,4,4,4,4,4,0
354,2034,59,812,2,2,2,2,4,0
355,37286,39,1056,5,3,3,3,5,0
356,32818,28,101,2,1,1,1,2,1
357,46695,44,73,2,3,2,3,4,1
358,121598,9,936,5,5,4,2,4,0
359,44039,24,287,1,1,0,3,5,1
360,102733,37,255,3,1,3,4,3,1
361,85600,25,317,0,4,0,4,5,0
362,10833,22,2027,2,2,2,2,4,0
363,81553,55,936,3,3,3,3,5,0
364,24745,53,432,4,3,3,3,4,0
365,58871,46,888,3,3,3,3,5,0
366,68900,62,1061,0,5,0,3,5,0
367,31952,53,216,5,5,4,5,5,0
368,98758,50,1814,3,3,3,3,2,0
369,59963,57,2993,5,5,5,5,2,0
370,38236,54,2632,3,3,3,3,2,0
371,43811,42,199,1,1,1,1,5,0
372,58215,17,802,2,5,2,2,4,1
373,88293,53,581,1,1,1,1,3,0
374,37225,49,1938,2,2,2,2,3,0
375,43935,37,174,5,3,5,3,5,0
376,48899,35,326,4,2,2,2,4,0
377,99082,30,1821,1,1,1,1,2,1
378,75859,16,1437,1,5,0,4,5,1
379,85109,46,3995,4,4,4,4,3,0
380,118135,51,1488,2,3,3,3,4,1
381,89169,70,1892,1,4,1,3,1,1
382,4988,26,502,2,2,2,5,5,1
383,81441,46,2491,3,3,3,3,4,0
384,37707,12,944,2,2,2,4,1,1
385,94317,25,496,4,4,4,4,4,0
386,42242,63,329,2,2,2,2,5,0
387,8085,48,402,1,1,1,1,4,0
388,42926,43,3946,3,3,3,3,3,0
389,114663,35,337,5,5,5,5,2,0
390,63597,32,2133,4,4,4,4,4,0
391,78220,44,192,2,4,2,5,4,1
392,2902,60,491,1,3,1,3,5,1
393,71673,20,1120,2,1,2,4,2,1
394,128042,10,1440,1,4,1,4,4,1
395,53847,51,140,2,1,3,1,1,1
396,42369,22,451,2,4,2,3,2,1
397,110474,42,798,1,1,1,3,5,1
398,17284,32,3607,1,1,1,1,5,0
399,69457,24,1096,2,5,2,3,1,1
400,83974,43,373,2,5,2,2,2,0
401,107761,7,405,3,5,3,2,4,1
402,37834,29,2542,5,5,4,5,5,0
403,25904,48,907,4,2,2,2,5,0
404,73190,25,1258,3,3,3,3,3,1
405,70160,25,550,2,2,2,3,1,1
406,126642,35,602,4,4,4,4,3,0
407,76228,57,1399,2,2,2,2,4,1
408,18983,52,3245,4,4,4,4,2,0
409,42803,17,677,0,3,0,3,4,0
410,65527,30,1616,2,4,3,1,1,1
411,5441,38,1561,3,5,3,3,2,0
412,18473,38,285,5,5,5,5,1,0
413,98337,38,1189,1,1,1,3,3,1
414,68782,23,1021,2,2,2,3,3,0
415,98247,39,2442,5,4,5,5,2,0
416,67119,55,918,1,2,2,2,5,1
417,91319,25,545,3,5,3,1,5,1
418,111275,59,459,4,2,2,2,4,1
419,60787,9,804,1,5,1,3,1,1
420,65894,26,569,0,0,0,3,3,0
421,67702,51,3991,5,5,5,5,3,0
422,55982,40,1620,2,2,2,2,4,0
423,38230,56,1173,3,3,5,3,4,1
424,48253,56,236,3,3,3,3,5,1
425,89431,18,134,2,2,2,3,3,1
426,117314,8,647,3,2,3,3,2,1
427,14155,33,654,4,3,3,3,4,0
428,123078,46,2623,3,3,3,3,3,0
429,50137,41,209,4,4,4,4,1,1
430,41799,36,257,3,3,3,3,4,0
431,47037,26,1629,1,1,1,1,5,0
432,115397,36,371,3,2,3,3,5,1
433,35221,31,2201,5,5,5,5,2,0
434,52892,24,836,2,4,2,1,1,1
435,90041,39,3081,5,5,5,5,2,0
436,26751,20,859,3,4,4,3,4,1
437,66071,69,1055,2,5,2,1,3,1
438,33552,27,399,1,0,1,4,5,1
439,107354,10,632,3,4,4,4,3,1
440,83598,60,3626,2,2,2,2,4,0
441,117725,44,833,2,2,2,2,3,0
442,34210,68,1288,2,5,2,3,4,1
443,129245,41,2163,3,3,3,3,5,1
444,16810,46,645,3,2,2,2,3,1
445,88356,54,515,3,2,2,2,3,1
446,3875,44,3767,1,1,1,1,5,1
447,4749,43,888,5,1,5,3,4,0
448,9559,44,288,5,5,5,5,4,0
449,112110,26,1024,4,4,4,1,5,1
450,114915,48,3185,2,2,2,2,5,0
451,66011,30,2974,4,4,4,4,4,0
452,60450,46,2981,1,1,1,1,2,0
453,129469,23,1428,2,2,2,2,2,1
454,62153,39,2454,5,5,5,5,5,0
455,39499,24,3482,5,5,5,5,4,0
456,19091,48,296,2,5,4,3,4,1
457,48260,63,391,3,4,3,5,5,1
458,96830,37,3744,5,5,5,5,5,0
459,126561,37,1558,4,1,1,1,1,1
460,69098,57,1389,1,1,3,1,5,0
461,89178,21,1947,2,4,2,3,1,1
462,48501,9,776,2,2,2,2,2,1
463,109465,24,3536,5,5,5,5,4,0
464,62274,36,414,3,3,3,5,3,1
465,98908,44,3165,2,2,2,2,4,0
466,17357,49,1600,2,5,5,5,4,1
467,115331,42,3605,4,4,4,4,3,0
468,65150,52,247,4,4,0,2,5,0
469,42257,52,550,2,4,4,4,2,1
470,116136,20,446,4,3,4,3,1,1
471,36244,47,728,1,1,1,1,1,0
472,109049,45,3692,2,2,2,2,1,1
473,111496,44,3979,4,4,4,4,3,0
474,8105,47,3546,2,2,2,2,4,1
475,19478,57,177,5,5,5,5,1,0
476,79579,34,760,4,4,4,4,4,0
477,26935,26,2378,4,5,5,5,4,0
478,81010,45,228,0,0,0,3,3,0
479,32348,33,163,3,3,4,3,2,0
480,122747,22,251,1,0,1,3,2,1
481,88118,51,406,5,5,5,5,5,0
482,5622,60,624,4,3,4,1,4,0
483,97335,40,3764,1,1,1,1,4,0
484,72995,62,696,3,3,5,3,2,1
485,21707,68,746,3,5,3,2,5,1
486,120201,38,2930,2,5,5,5,2,1
487,42929,44,192,5,5,5,5,3,0
488,117511,11,507,3,5,3,1,1,1
489,125569,33,226,1,4,1,1,2,1
490,128566,10,338,1,5,3,3,5,1
491,16040,51,380,2,4,4,4,2,0
492,27289,34,3144,4,4,4,4,3,0
493,61198,69,3714,4,1,1,1,1,1
494,120723,49,90,4,4,2,4,3,0
495,73793,30,204,2,5,5,5,2,1
496,36093,40,399,3,4,3,1,1,1
497,66777,29,802,2,3,2,4,2,1
498,91068,68,406,3,3,3,2,3,1
499,120574,53,676,2,5,5,5,5,1
500,30294,24,1476,4,4,4,4,5,0
501,99081,43,3677,4,4,4,4,4,0
502,12094,7,1034,2,4,2,2,2,1
503,11849,65,1042,4,5,4,4,3,1
504,2671,8,597,4,4,4,2,2,1
505,55140,50,1635,1,5,1,3,4,1
506,75362,26,2556,3,2,3,3,3,1
507,5763,24,859,3,5,3,5,2,1
508,12659,55,1236,1,4,1,3,3,1
509,21207,21,192,3,3,3,4,1,1
510,45421,57,649,4,4,4,4,4,0
511,51952,22,936,2,5,2,2,4,0
512,80873,49,484,3,4,3,3,3,1
513,119054,31,2279,1,5,1,2,3,1
514,128651,21,1444,5,4,4,1,5,0
515,65790,38,1389,5,5,5,1,2,0
516,71834,42,1846,1,2,2,2,5,1
517,94138,55,1884,4,4,1,4,3,0
518,5255,26,285,1,2,1,2,3,1
519,115771,43,2256,1,1,1,1,5,1
520,73967,12,2342,3,1,3,4,4,1
521,32801,32,163,2,4,4,4,2,1
522,36503,46,2502,2,2,2,2,3,0
523,63315,19,337,4,2,2,2,4,1
524,51581,38,261,2,2,5,2,4,0
525,77979,52,332,3,3,3,3,4,0
526,117451,47,707,1,1,1,4,3,1
527,58912,19,888,2,4,2,3,1,1
528,11244,43,301,3,4,3,3,5,1
529,122058,23,130,2,1,1,1,2,1
530,6133,45,3052,1,1,5,1,3,0
531,63668,58,2405,5,2,5,4,2,0
532,73903,25,2585,3,3,3,4,3,1
533,104087,68,666,4,3,4,2,1,1
534,9170,64,3239,3,5,3,3,3,0
535,105685,57,2718,2,2,2,2,3,0
536,115282,43,362,4,4,4,4,4,1
537,16311,28,3545,2,2,2,2,5,0
538,77671,30,813,3,2,2,3,3,1
539,19381,23,1698,2,2,2,2,5,0
540,94026,37,148,4,4,4,2,4,0
541,122163,54,544,2,2,2,2,5,0
542,7179,40,3011,5,5,5,5,4,0
543,20625,47,783,5,2,2,2,5,0
544,124273,24,255,5,0,5,1,3,0
545,1600,25,140,3,3,3,4,4,1
546,23359,40,809,4,2,4,2,4,0
547,80613,38,2472,5,5,3,5,3,0
548,45303,45,175,3,1,1,1,1,0
549,21580,29,331,2,5,2,2,3,1
550,65318,42,2243,5,5,4,5,4,0
551,52768,42,1874,3,3,3,3,3,1
552,49507,27,326,3,3,3,2,5,1
553,121964,38,130,4,4,4,4,1,1
554,63942,64,1158,1,4,0,1,4,1
555,81471,46,2074,4,4,4,4,3,1
556,54997,46,1635,3,3,3,3,5,0
557,59017,53,1744,3,3,3,3,4,0
558,112287,48,1703,4,4,4,1,4,1
559,97003,9,883,4,5,3,1,1,1
560,102913,39,1979,3,3,3,3,3,0
561,21546,16,306,2,4,2,1,5,1
562,121044,29,992,2,4,2,3,5,1
563,126814,41,2077,2,2,2,2,5,0
564,1936,51,3304,2,2,2,2,5,0
565,17630,42,2274,2,2,2,2,3,0
566,82979,51,1084,5,5,5,5,3,0
567,9557,50,2335,5,5,5,5,4,0
568,76350,48,1851,1,2,1,1,2,0
569,94609,50,3960,4,4,4,4,3,0
570,86573,20,1269,2,2,2,4,3,1
571,38421,36,965,3,3,3,3,3,1
572,12479,10,192,2,5,2,2,2,1
573,108382,64,1728,4,1,4,3,1,1
574,99249,58,541,2,2,2,3,1,1
575,128013,55,1440,2,2,2,2,5,0
576,3468,64,213,2,0,2,1,5,1
577,71012,52,3496,5,5,5,5,3,0
578,116293,10,325,3,4,3,4,1,1
579,103164,7,491,4,2,4,4,5,1
580,29908,43,253,5,5,5,5,5,0
581,37280,42,1010,5,4,4,4,1,0
582,90266,16,2899,5,5,5,5,4,0
583,63145,51,2093,1,1,1,1,3,0
584,113897,35,2295,1,5,1,5,1,1
585,80519,47,1749,3,5,3,2,5,1
586,107210,35,668,2,2,2,2,5,1
587,48034,13,1384,4,5,5,5,4,1
588,49907,24,326,0,3,0,4,3,0
589,15360,34,2627,1,1,1,1,3,0
590,107856,51,1644,2,2,2,2,4,0
591,96716,39,813,1,1,1,4,2,1
592,57625,35,200,2,1,1,3,2,1
593,87442,48,304,2,2,4,2,4,0
594,115872,44,373,5,1,1,1,5,0
595,37667,66,1097,4,3,4,3,4,1
596,102881,26,472,3,5,3,4,3,1
597,107099,65,745,3,5,4,4,1,1
598,55791,20,1394,2,1,1,4,2,1
599,4388,30,607,3,5,3,1,3,1
600,44731,40,67,4,4,5,5,4,0
601,102620,45,1294,3,5,3,5,2,1
602,53749,58,1208,3,3,4,4,2,1
603,126263,37,107,2,2,2,3,2,1
604,18176,37,235,4,4,4,3,4,1
605,121318,25,1009,0,5,0,4,5,0
606,120225,26,1303,2,2,2,4,3,1
607,60742,27,628,2,2,2,2,4,0
608,82016,52,1517,4,5,4,4,3,0
609,58490,26,2836,5,5,5,5,5,0
610,100263,58,1034,4,4,4,4,5,0
611,57121,50,2350,3,1,1,1,4,1
612,15260,11,529,4,3,4,4,4,1
613,97911,25,483,0,4,0,4,5,0
614,115837,22,480,3,0,3,2,3,1
615,28457,43,2588,0,5,0,1,0,0
616,104313,41,3396,3,3,2,3,4,0
617,39072,40,384,3,3,3,4,2,1
618,128176,20,1788,1,2,5,2,1,1
619,112243,43,1506,3,2,3,3,5,0
620,24065,50,427,4,5,5,5,5,0
621,12170,24,1042,3,3,3,4,1,1
622,5803,32,157,3,3,3,3,2,1
623,17005,47,3349,3,3,5,3,5,0
624,9072,28,160,4,2,4,4,1,1
625,56156,23,1400,1,1,1,1,4,0
626,49879,38,2027,3,3,3,3,5,0
627,78234,53,1741,1,1,1,1,4,0
628,23979,52,3092,1,1,1,1,2,0
629,113199,20,386,5,0,5,3,4,0
630,73887,43,2585,1,1,1,1,5,0
631,68000,40,304,0,0,0,3,3,0
632,69413,43,2835,4,3,4,4,5,0
633,26761,34,859,3,5,4,2,4,1
634,64701,37,3969,1,3,3,3,5,1
635,36377,61,2402,4,4,4,4,4,1
636,25233,29,925,0,5,0,2,1,0
637,36416,41,369,4,4,4,3,3,0
638,71469,28,867,4,4,4,4,5,1
639,26626,58,515,2,3,3,3,1,1
640,72406,50,964,1,1,1,1,1,1
641,79582,46,762,4,4,4,4,3,0
642,55969,28,1620,3,3,3,3,5,0
643,85246,61,731,5,5,5,2,1,0
644,75174,27,1744,3,1,1,1,3,1
645,50505,43,109,4,3,4,3,2,1
