Area,Perimeter,Major_Axis,Minor_Axis,Eccentricity,Eqdiasq,Solidity,Convex_Area,Extent,Aspect_Ratio,Roundness,Compactness,Shapefactor_1,Shapefactor_2,Shapefactor_3,Shapefactor_4,Mean_RR,Mean_RG,Mean_RB,StdDev_RR,StdDev_RG,StdDev_RB,Skew_RR,Skew_RG,Skew_RB,Kurtosis_RR,Kurtosis_RG,Kurtosis_RB,Class
81530,1987.7841,463.7215,236.5881,0.8601,322.1913,0.9201,88606,0.7304,1.96,0.2593,0.6948,0.0057,0.0029,0.4827,0.9462,207.6361,195.7106,193.1941,20.5901,20.7624,21.9486,-0.6415,-0.62,-0.4957,2.2334,2.2835,2.1215,1
90180,1188.213,452.9105,254.3419,0.8274,338.8521,0.9865,91412,0.7636,1.7807,0.8027,0.7482,0.005,0.0028,0.5598,0.9968,233.2834,219.5477,196.2016,22.7717,24.1644,24.2921,-1.311,-0.8711,-0.6154,4.0047,3.3723,2.9771,1
67223,1359.09,418.6153,217.6125,0.8543,292.5594,0.9303,72259,0.6915,1.9237,0.4573,0.6989,0.0062,0.0032,0.4884,0.9396,203.4084,191.9493,188.3738,23.337,25.9915,27.2478,0.0348,0.0905,0.2135,2.0163,2.048,2.3236,1
96425,1347.23,513.5703,243.3371,0.8806,350.3885,0.9759,98802,0.7015,2.1105,0.6676,0.6823,0.0053,0.0025,0.4655,0.9824,209.3333,194.8877,172.9406,21.5137,22.2644,24.0633,-0.0185,0.1388,0.2582,2.5999,2.5058,2.4209,1
84292,1238.2,428.8432,255.9749,0.8023,327.6033,0.9621,87609,0.7599,1.6753,0.6909,0.7639,0.0051,0.003,0.5836,0.9777,227.3679,218.7759,199.8237,25.1169,26.2224,24.9024,-0.9282,-0.8585,-0.581,2.9008,2.764,2.4681,1
53286,1253.347,403.966,176.8418,0.8991,260.4724,0.8709,61184,0.634,2.2843,0.4263,0.6448,0.0076,0.0033,0.4158,0.9497,182.2735,167.5596,164.7678,12.7529,11.9854,16.4219,0.4333,0.4571,0.7297,2.8249,3.4387,4.5499,1
74424,1205.576,445.501,227.3165,0.86,307.8304,0.8941,83235,0.6622,1.9598,0.6435,0.691,0.006,0.0031,0.4774,0.9357,217.3209,205.2269,190.4448,22.7241,23.4126,22.68,-0.6079,-0.58,-0.5661,2.4052,2.3623,2.6305,1
70689,2024.5959,460.4317,208.2718,0.8918,300.0067,0.897,78808,0.7161,2.2107,0.2167,0.6516,0.0065,0.0029,0.4246,0.9386,214.9447,201.9783,185.4297,24.1491,24.6727,23.1976,-0.5508,-0.6003,-0.582,2.25,2.2823,2.4909,1
81460,2009.209,470.2433,252.9894,0.8429,322.0529,0.8651,94167,0.6763,1.8587,0.2536,0.6849,0.0058,0.0031,0.469,0.8718,226.2159,214.6261,199.7897,24.9311,26.5407,25.094,-0.8313,-0.6826,-0.6774,2.7859,2.5659,2.7287,1
77441,2748.8569,428.3756,274.7805,0.7672,314.0079,0.8114,95443,0.6529,1.559,0.1288,0.733,0.0055,0.0035,0.5373,0.8377,212.9499,197.0402,180.7073,27.1654,29.3236,27.4891,-0.1094,-0.1772,-0.2124,1.6624,1.6901,1.7913,1
91081,1296.701,513.0668,231.2566,0.8927,340.5406,0.9708,93820,0.7511,2.2186,0.6807,0.6637,0.0056,0.0025,0.4405,0.9774,235.0465,226.7536,208.1202,24.1066,25.6907,27.2896,-1.3134,-1.0379,-0.6869,3.9028,3.348,2.782,1
75635,1561.036,446.4532,229.405,0.8579,310.3248,0.8969,84327,0.5822,1.9461,0.39,0.6951,0.0059,0.003,0.4831,0.9403,209.3109,194.3032,179.6574,19.1689,21.6463,22.2754,-0.0009,0.2295,0.997,3.0843,3.4209,5.0347,1
73119,1161.65,459.8024,207.723,0.8921,305.1197,0.965,75774,0.7663,2.2135,0.6809,0.6636,0.0063,0.0028,0.4403,0.9747,215.4819,196.9258,163.3686,19.5327,17.8062,18.5735,-0.2297,-0.2228,-0.6006,2.9848,3.4124,4.4131,1
65537,1738.9969,422.4373,221.3358,0.8517,288.8673,0.8709,75252,0.6886,1.9086,0.2723,0.6838,0.0064,0.0034,0.4676,0.8924,232.1054,220.423,196.6049,24.5468,25.2817,24.8571,-1.1385,-1.0625,-1.0954,3.2719,3.1632,3.4909,1
86114,1275.5,482.045,230.2585,0.8785,331.125,0.9709,88698,0.6016,2.0935,0.6652,0.6869,0.0056,0.0027,0.4719,0.9878,224.9794,212.7122,190.5638,20.7243,20.81,20.7822,-1.2206,-1.0729,-0.7999,3.9812,3.6748,3.5958,1
43934,1850.2111,361.9039,174.2819,0.8764,236.5132,0.8064,54479,0.6403,2.0765,0.1613,0.6535,0.0082,0.004,0.4271,0.8869,207.73,197.9311,176.8129,20.9992,22.3645,23.4525,-0.3757,-0.2801,-0.1163,2.2125,2.1976,2.3385,1
73362,1100.2889,428.7806,221.174,0.8567,305.6263,0.9843,74530,0.7755,1.9387,0.7615,0.7128,0.0058,0.003,0.5081,0.9849,230.2569,220.8431,200.4902,25.5687,26.6907,27.1628,-0.9367,-0.7269,-0.5697,2.9105,2.5053,2.1315,1
85526,1333.933,479.3066,233.0093,0.8739,329.9926,0.9506,89969,0.7304,2.057,0.604,0.6885,0.0056,0.0027,0.474,0.975,206.2872,191.2691,173.7643,17.2236,18.2869,21.2869,-0.5059,-0.3213,0.2831,3.1011,3.1424,3.7766,1
63121,1589.677,447.8658,192.5081,0.9029,283.4928,0.8905,70880,0.6375,2.3265,0.3139,0.633,0.0071,0.003,0.4007,0.9322,192.5969,179.7983,171.5707,16.9747,18.3243,20.3175,0.9019,1.1289,1.2504,4.902,5.5951,5.6002,1
81333,1221.348,506.2325,214.2905,0.906,321.8018,0.936,86896,0.6167,2.3624,0.6852,0.6357,0.0062,0.0026,0.4041,0.9546,213.5125,198.4636,190.2829,18.1364,20.3394,21.4102,-0.3745,-0.2428,0.2408,2.9622,3.0358,3.0798,1
55508,1029.842,396.2707,191.7932,0.8751,265.8477,0.9104,60968,0.7225,2.0661,0.6577,0.6709,0.0071,0.0035,0.4501,0.9299,233.892,231.5303,217.418,25.1449,26.8659,28.6888,-1.3631,-1.237,-0.8553,4.0304,3.6527,2.9693,1
70579,1399.671,432.6053,211.7505,0.872,299.7732,0.9514,74186,0.718,2.043,0.4527,0.6929,0.0061,0.003,0.4802,0.981,215.6448,205.2286,185.8534,19.9158,22.4537,26.1605,-0.4769,-0.166,0.0642,2.8314,2.6097,2.5587,1
67625,1157.953,413.7079,216.2977,0.8524,293.4328,0.9468,71427,0.681,1.9127,0.6338,0.7093,0.0061,0.0032,0.5031,0.9622,213.2766,200.7982,184.3478,18.6103,20.2492,20.3306,-0.7021,-0.4634,0.4542,3.4065,3.5935,5.1117,1
75330,1214.089,436.8484,222.0092,0.8612,309.6985,0.9702,77640,0.7731,1.9677,0.6422,0.7089,0.0058,0.0029,0.5026,0.989,223.5558,211.6769,197.1618,22.0083,22.814,24.6231,-1.076,-0.8875,-0.7006,3.3638,3.2477,3.0436,1
76164,1123.151,457.5223,214.1462,0.8837,311.4081,0.9788,77811,0.7506,2.1365,0.7587,0.6806,0.006,0.0028,0.4633,0.9898,236.8439,231.5861,200.9656,22.7398,23.7402,21.6556,-1.5677,-1.1933,-0.7236,5.06,3.9414,3.3049,1
65570,2071.4451,418.0258,217.1458,0.8545,288.94,0.8976,73054,0.5945,1.9251,0.192,0.6912,0.0064,0.0033,0.4778,0.9197,225.3987,216.9854,195.7207,25.2646,28.5443,28.0747,-0.6584,-0.6223,-0.6653,2.3546,2.3268,2.4757,1
64771,1478.691,446.959,190.6946,0.9044,287.1742,0.9285,69756,0.7067,2.3438,0.3723,0.6425,0.0069,0.0029,0.4128,0.9676,195.0337,187.3211,178.2211,16.2629,17.667,19.7592,0.3779,0.6626,1.0049,4.3247,4.6252,5.221,1
71771,1425.094,445.004,211.9985,0.8792,302.294,0.9294,77220,0.745,2.0991,0.4441,0.6793,0.0062,0.003,0.4615,0.9686,202.0185,192.5244,181.1449,20.3919,23.3679,26.7196,0.3379,0.6221,0.9958,2.8729,3.1256,3.7007,1
84232,1528.723,484.7547,229.0246,0.8814,327.4867,0.9417,89443,0.615,2.1166,0.4529,0.6756,0.0058,0.0027,0.4564,0.966,211.5171,204.4062,193.4265,19.7833,20.7514,20.5681,-0.8914,-0.7439,-0.2897,3.095,2.963,2.8326,1
75031,1159.2629,456.2571,222.0204,0.8736,309.0832,0.9331,80407,0.6655,2.055,0.7016,0.6774,0.0061,0.003,0.4589,0.9431,236.0551,230.4329,216.4153,24.3314,27.1959,25.7069,-1.26,-1.1121,-0.943,3.6206,3.2907,2.8578,1
71407,1176.4659,443.3218,211.6084,0.8787,301.5265,0.9437,75664,0.7116,2.095,0.6483,0.6802,0.0062,0.003,0.4626,0.9692,215.8177,201.5972,189.5243,27.5949,30.2014,26.0846,-0.376,-0.3864,-0.3745,1.7809,1.778,2.2485,1
75516,1731.484,411.7352,245.762,0.8023,310.0806,0.9148,82546,0.7169,1.6753,0.3165,0.7531,0.0055,0.0033,0.5672,0.9502,226.9058,219.3537,200.8503,25.8412,28.7529,31.9152,-0.7759,-0.6548,-0.432,2.6256,2.4217,2.2938,1
84529,1169.575,476.1964,228.5816,0.8773,328.0635,0.9888,85490,0.787,2.0833,0.7765,0.6889,0.0056,0.0027,0.4746,0.9888,220.7026,212.8225,197.2249,17.3908,18.7416,19.9761,-0.7525,-0.4371,-0.1963,3.4796,2.9409,3.2232,1
62238,1814.608,405.7151,205.6124,0.8621,281.5029,0.8895,69971,0.6034,1.9732,0.2375,0.6938,0.0065,0.0033,0.4814,0.9499,217.2877,207.4105,186.1213,20.5431,23.3355,25.9713,-0.6682,-0.484,-0.2163,2.9807,2.7377,2.6745,1
74244,2004.193,431.8755,249.3853,0.8164,307.4579,0.8425,88119,0.657,1.7318,0.2323,0.7119,0.0058,0.0034,0.5068,0.8777,209.4746,198.3632,180.1173,21.3188,21.3771,19.5887,-0.517,-0.4716,-0.3797,2.2604,2.2957,2.6053,1
72577,1765.828,503.3036,194.4765,0.9223,303.9867,0.8879,81744,0.7244,2.588,0.2925,0.604,0.0069,0.0027,0.3648,0.9441,199.6414,189.603,178.0476,20.7816,22.7046,25.1262,0.4565,0.5735,0.6817,2.9679,2.9633,3.1636,1
65565,1115.9399,438.7311,197.1891,0.8933,288.929,0.9378,69915,0.7139,2.2249,0.6616,0.6586,0.0067,0.003,0.4337,0.9649,208.8326,194.6885,179.2249,19.9426,21.5134,21.3844,-0.5733,-0.5783,-0.4827,2.3233,2.389,2.3183,1
65994,2394.1021,437.4028,213.106,0.8733,289.8727,0.8685,75987,0.6656,2.0525,0.1447,0.6627,0.0066,0.0032,0.4392,0.9014,208.8175,198.1584,175.5928,17.541,18.412,25.4907,-0.4654,-0.2051,-0.0339,3.1337,3.2606,4.2195,1
63050,1649.811,394.5666,230.5279,0.8116,283.3333,0.8815,71526,0.6735,1.7116,0.2911,0.7181,0.0063,0.0037,0.5156,0.8826,221.2945,209.3783,188.7244,22.667,22.4915,21.1201,-0.5594,-0.5715,-0.5165,2.4584,2.4344,2.3364,1
78830,1525.908,418.7831,243.061,0.8143,316.8114,0.9528,82738,0.7454,1.723,0.4254,0.7565,0.0053,0.0031,0.5723,0.986,222.3044,210.9367,193.8992,24.1685,25.5375,27.7864,-0.4374,-0.2288,-0.0109,2.3468,2.1141,1.9927,1
67873,1328.665,444.0167,200.4494,0.8923,293.9704,0.9549,71081,0.6245,2.2151,0.4831,0.6621,0.0065,0.003,0.4383,0.971,217.8001,204.6013,186.437,19.7816,22.5845,26.9732,-0.7898,-0.4358,0.0842,2.9835,2.8319,3.0042,1
60519,1036.614,417.9505,187.7278,0.8934,277.5882,0.9837,61520,0.746,2.2264,0.7077,0.6642,0.0069,0.0031,0.4411,0.9821,220.9156,205.9261,188.2228,23.1751,22.7507,20.7895,-0.6282,-0.6137,-0.4656,2.7665,2.6403,2.5308,1
69417,1199.814,442.4721,202.4234,0.8892,297.2953,0.9777,70998,0.7603,2.1859,0.606,0.6719,0.0064,0.0029,0.4514,0.9868,212.3776,206.1989,186.297,20.2861,21.2453,21.615,-0.8696,-0.6581,-0.4311,3.022,2.8803,2.9439,1
85660,1188.316,474.8121,234.9223,0.869,330.251,0.9873,86763,0.753,2.0211,0.7623,0.6955,0.0055,0.0027,0.4838,0.9778,217.5101,208.1564,203.1079,16.091,15.8807,14.3014,-1.3304,-1.0241,-0.707,5.3295,4.5537,4.113,1
64046,1431.364,409.9027,207.0709,0.863,285.5624,0.9182,69755,0.6562,1.9795,0.3928,0.6967,0.0064,0.0032,0.4853,0.9607,213.908,203.0908,190.7372,26.6013,28.7347,30.2821,-0.241,-0.0754,-0.0136,2.0976,1.9812,2.0894,1
72064,1151.364,436.2237,213.0541,0.8726,302.9104,0.9781,73679,0.767,2.0475,0.6831,0.6944,0.0061,0.003,0.4822,0.9873,230.6158,219.7892,194.4882,26.2604,26.9255,26.8914,-1.0975,-0.9313,-0.6887,3.1229,2.8681,2.5008,1
51626,1030.5439,381.8336,178.0177,0.8847,256.3831,0.9589,53839,0.6754,2.1449,0.6109,0.6715,0.0074,0.0034,0.4508,0.967,189.3511,179.1799,167.027,16.5976,17.5232,16.7867,0.3167,0.3644,0.454,2.6078,2.6842,3.064,1
77603,1137.225,418.1591,245.092,0.8102,314.3362,0.981,79102,0.6393,1.7061,0.754,0.7517,0.0054,0.0032,0.5651,0.9641,228.0317,207.7238,173.7847,22.0399,20.2491,20.273,-0.8986,-0.7793,-0.6731,3.1993,3.1707,3.1381,1
81733,1291.535,467.2177,226.7052,0.8744,322.5921,0.949,86121,0.6764,2.0609,0.6157,0.6905,0.0057,0.0028,0.4767,0.9825,218.3544,206.0525,190.6314,21.7015,23.132,26.8097,-0.3861,-0.0893,0.3637,2.7575,2.7271,2.9306,1
71560,1225.517,426.2491,218.7881,0.8582,301.8493,0.9492,75387,0.7279,1.9482,0.5987,0.7082,0.006,0.0031,0.5015,0.977,223.4793,208.7202,189.6099,28.6395,30.5463,30.6506,-0.506,-0.4674,-0.4186,1.9425,1.9466,2.1842,1
75944,1206.291,409.6142,239.2557,0.8117,310.958,0.9749,77897,0.7338,1.712,0.6558,0.7591,0.0054,0.0032,0.5763,0.9867,213.4822,198.0202,169.2683,19.2766,21.4277,24.4482,-0.7834,-0.3705,-0.0922,3.1107,2.5387,3.083,1
53898,999.22,354.2534,202.1277,0.8212,261.9639,0.9235,58360,0.5984,1.7526,0.6784,0.7395,0.0066,0.0038,0.5468,0.9584,200.2475,192.3705,167.993,19.8056,20.3085,21.7522,-0.2097,-0.1301,-0.0744,2.1575,2.2835,3.1814,1
58747,1323.016,462.1706,166.2839,0.933,273.4941,0.9328,62980,0.5789,2.7794,0.4218,0.5918,0.0079,0.0028,0.3502,0.9733,187.0815,177.2823,169.646,15.8245,16.5916,18.7724,0.4735,0.6156,0.8541,3.2485,3.5511,4.2605,1
74993,1128.313,448.2543,215.2649,0.8771,309.0049,0.9805,76486,0.761,2.0823,0.7402,0.6894,0.006,0.0029,0.4752,0.9895,227.9854,220.1741,206.9887,24.1779,25.4769,24.6455,-0.9311,-0.7197,-0.5054,3.0589,2.8255,2.6174,1
67543,1130.658,451.7998,193.119,0.904,293.2549,0.9568,70591,0.7381,2.3395,0.6639,0.6491,0.0067,0.0029,0.4213,0.9856,226.6322,221.015,215.0342,21.2745,23.2135,22.626,-0.7663,-0.5844,-0.4437,3.4043,3.044,3.1337,1
77892,1448.8051,436.2948,243.0868,0.8304,314.9209,0.9088,85709,0.7049,1.7948,0.4663,0.7218,0.0056,0.0031,0.521,0.9351,219.57,208.494,181.8115,22.1053,23.1819,27.9284,-0.8074,-0.705,-0.6675,2.6738,2.5193,2.9061,1
73389,1098.171,385.104,244.8001,0.772,305.6825,0.9828,74673,0.7478,1.5731,0.7647,0.7938,0.0052,0.0033,0.6301,0.9912,207.0059,193.3003,183.5687,19.2741,20.5261,19.8361,-0.1217,0.0158,0.1463,2.1976,2.1013,2.2682,1
67270,1084.45,425.1971,204.9928,0.8761,292.6616,0.9711,69272,0.7504,2.0742,0.7188,0.6883,0.0063,0.003,0.4738,0.9827,232.0502,225.3076,196.7187,24.1879,26.4544,27.2019,-0.8846,-0.6758,-0.4558,2.902,2.5082,2.3304,1
67479,1129.502,408.6271,214.1121,0.8517,293.1159,0.969,69635,0.7443,1.9085,0.6647,0.7173,0.0061,0.0032,0.5145,0.982,204.569,191.6666,180.4889,16.9842,17.6319,20.6258,-0.2247,0.0578,0.6074,3.4315,3.7853,4.9397,1
87728,1916.079,466.1459,267.3908,0.8191,334.2137,0.8576,102293,0.6723,1.7433,0.3003,0.717,0.0053,0.003,0.514,0.8961,228.8356,218.6404,199.9445,24.034,26.61,27.8719,-0.9135,-0.6838,-0.2653,3.014,2.6819,2.2809,1
65887,1226.8669,438.0079,201.4647,0.8879,289.6376,0.9184,71743,0.6786,2.1741,0.5501,0.6613,0.0066,0.0031,0.4373,0.9507,220.7063,211.5923,198.7324,26.2747,29.2439,29.9469,-0.4494,-0.2799,-0.2319,2.1553,2.0517,2.1428,1
78148,1867.463,438.0012,235.8488,0.8426,315.438,0.9302,84013,0.735,1.8571,0.2816,0.7202,0.0056,0.003,0.5187,0.9632,216.465,206.4292,189.8699,22.0271,23.5733,27.9102,-0.5733,-0.3666,0.0287,2.7652,2.6839,2.5873,1
71972,1093.48,437.0005,217.7932,0.867,302.717,0.9517,75625,0.7441,2.0065,0.7564,0.6927,0.0061,0.003,0.4799,0.9628,237.0998,219.781,183.3259,23.4977,24.9506,22.1765,-1.2387,-0.9797,-0.8706,3.4377,2.9819,2.7116,1
66182,1127.674,407.3528,214.0756,0.8508,290.2853,0.9645,68621,0.7303,1.9028,0.654,0.7126,0.0062,0.0032,0.5078,0.9663,201.104,188.8548,168.6889,17.7471,18.0426,19.5635,-0.0259,0.2765,0.7018,2.9388,3.0634,3.6795,1
80428,1528.296,464.1943,224.5781,0.8752,320.0064,0.9721,82734,0.7409,2.067,0.4327,0.6894,0.0058,0.0028,0.4752,0.9823,237.4279,231.7045,212.3279,24.0559,26.0557,24.571,-1.4075,-1.2004,-0.9695,3.9084,3.4594,3.1518,1
67549,1263.192,431.1825,213.6102,0.8687,293.2679,0.9117,74089,0.6853,2.0185,0.532,0.6801,0.0064,0.0032,0.4626,0.9338,220.3029,208.6003,193.4242,25.3414,27.7434,27.5824,-0.3506,-0.2608,-0.2477,2.0644,2.0326,1.9089,1
82580,1201.869,471.6422,226.6239,0.877,324.2593,0.9738,84804,0.7367,2.0812,0.7184,0.6875,0.0057,0.0027,0.4727,0.9837,209.1405,202.7798,194.0782,18.8505,20.197,20.2116,-0.244,-0.0682,0.1629,2.9671,2.7892,2.8766,1
78827,2755.0491,498.7084,233.7637,0.8833,316.8054,0.8542,92287,0.6831,2.1334,0.1305,0.6353,0.0063,0.003,0.4035,0.8609,217.907,210.801,194.6188,27.2178,29.9667,29.2481,-0.3473,-0.1923,0.0441,2.1639,2.0647,2.177,1
73197,1383.817,432.2907,226.5098,0.8517,305.2823,0.9269,78972,0.6413,1.9085,0.4803,0.7062,0.0059,0.0031,0.4987,0.9518,210.6614,198.4042,185.165,18.2077,19.8321,17.5922,-0.4113,-0.497,0.0824,2.7812,2.9204,3.0175,1
67486,1254.58,435.8694,204.1778,0.8835,293.1311,0.9468,71280,0.7509,2.1348,0.5388,0.6725,0.0065,0.003,0.4523,0.9655,230.0887,223.5283,198.7857,27.3573,31.168,30.7225,-0.8937,-0.761,-0.5975,2.5808,2.3417,2.1482,1
67297,1135.11,422.0551,206.534,0.8721,292.7203,0.9607,70053,0.7059,2.0435,0.6563,0.6936,0.0063,0.0031,0.481,0.983,219.7509,206.4915,202.8027,24.0223,26.1297,25.6501,-0.3112,-0.1988,-0.2586,2.3836,2.3302,2.522,1
82148,1233.542,485.0299,220.6042,0.8906,323.4101,0.9609,85489,0.7492,2.1986,0.6784,0.6668,0.0059,0.0027,0.4446,0.9775,221.1967,212.5512,206.4838,24.3063,25.2057,24.0368,-0.7362,-0.6455,-0.4596,2.6262,2.5164,2.3544,1
48770,2225.429,375.4734,199.815,0.8466,249.1905,0.7681,63495,0.5746,1.8791,0.1237,0.6637,0.0077,0.0041,0.4405,0.8277,193.0208,181.9344,170.9381,17.0138,17.8291,19.9975,0.0399,0.1107,0.0953,2.4627,2.6089,2.9427,1
70106,1115.47,432.6415,217.0622,0.865,298.767,0.9455,74144,0.7325,1.9932,0.708,0.6906,0.0062,0.0031,0.4769,0.9505,226.6761,221.766,204.7883,25.1163,26.6586,26.3471,-0.7096,-0.5524,-0.0849,2.6356,2.4995,2.2836,1
60694,2086.55,423.8828,194.9007,0.888,277.9892,0.8996,67467,0.7255,2.1749,0.1752,0.6558,0.007,0.0032,0.4301,0.9354,201.81,188.3306,174.1808,21.4259,24.0428,25.4469,0.2995,0.3598,0.5526,2.4413,2.4519,3.1488,1
73508,1485.879,472.5662,210.5107,0.8953,305.9302,0.9328,78807,0.6938,2.2449,0.4184,0.6474,0.0064,0.0029,0.4191,0.9408,211.5179,204.1982,192.6848,20.6216,22.5388,24.4915,-0.5517,-0.4013,-0.0084,2.8569,2.7674,3.0239,1
71848,1138.556,462.0606,206.0044,0.8951,302.4561,0.9411,76343,0.7149,2.243,0.6965,0.6546,0.0064,0.0029,0.4285,0.9611,232.2297,219.8807,199.7256,22.3685,22.921,22.8729,-1.2226,-1.0576,-0.6698,4.1088,3.7977,2.8894,1
75029,1459.381,421.1766,240.2017,0.8214,309.0791,0.936,80155,0.6927,1.7534,0.4427,0.7338,0.0056,0.0032,0.5385,0.9443,214.6412,203.4756,187.9489,21.7308,24.2249,28.3911,-0.2294,0.0251,0.5039,2.5664,2.5919,2.6358,1
53594,1321.155,386.377,182.4593,0.8815,261.224,0.928,57755,0.7157,2.1176,0.3858,0.6761,0.0072,0.0034,0.4571,0.9679,204.4965,184.213,187.9279,19.3605,21.1571,20.8951,-0.3831,0.0963,-0.5673,2.2679,2.4445,2.4308,1
81061,1692.101,457.3645,236.0149,0.8566,321.2632,0.8837,91729,0.6486,1.9379,0.3558,0.7024,0.0056,0.0029,0.4934,0.9561,208.8838,199.9588,190.4125,18.0746,18.0578,18.566,-0.8154,-0.6507,-0.3435,3.4055,3.2153,3.4118,1
